AOI,RCA,StreamOrder,Model,Period,gsdd,mean_ann,min_ann,max_ann,mean_apr,mean_may,mean_jun,mean_jul,mean_aug,mean_sep,mean_oct
Allen Creek-Goldstream Creek (HUC12: 190803090707),2161,5,gfdl,2,1674.82,7.48,0.49,17.11,2.27,7.71,12.61,13.58,8.91,5.93,2.93
Allen Creek-Goldstream Creek (HUC12: 190803090707),2174,5,ccsm,0,1429.35,6.42,0.39,14.6,2.04,5.87,10.57,11.9,8.26,5.1,2.44
Allen Creek-Goldstream Creek (HUC12: 190803090707),2174,5,ccsm,1,1499.63,6.69,0.35,17.86,2.05,5.96,11.54,12.41,8.24,5.4,2.53
Allen Creek-Goldstream Creek (HUC12: 190803090707),2174,5,ccsm,2,1630.85,7.28,0.33,18.46,2.07,6.77,12.83,13.35,9.1,5.79,2.68
Allen Creek-Goldstream Creek (HUC12: 190803090707),2174,5,gfdl,0,1429.35,6.42,0.39,14.6,2.04,5.87,10.57,11.9,8.26,5.1,2.44
Allen Creek-Goldstream Creek (HUC12: 190803090707),2174,5,gfdl,1,1507.03,6.73,0.34,14.22,2.02,6.46,11.61,12.21,8.37,5.48,2.47
Allen Creek-Goldstream Creek (HUC12: 190803090707),2174,5,gfdl,2,1649.84,7.37,0.33,16.94,2.11,7.6,12.53,13.48,8.83,5.8,2.8
Allen Creek-Goldstream Creek (HUC12: 190803090707),2260,5,ccsm,0,1428.08,6.58,0.54,14.99,2.18,6.04,10.83,12.14,8.36,5.18,2.54
Allen Creek-Goldstream Creek (HUC12: 190803090707),2260,5,ccsm,1,1535.77,6.86,0.5,18.53,2.18,6.14,11.83,12.66,8.36,5.46,2.61
Allen Creek-Goldstream Creek (HUC12: 190803090707),2260,5,ccsm,2,1671.11,7.46,0.47,18.98,2.2,6.98,13.15,13.64,9.23,5.87,2.76
Allen Creek-Goldstream Creek (HUC12: 190803090707),2260,5,gfdl,0,1428.08,6.58,0.54,14.99,2.18,6.04,10.83,12.14,8.36,5.18,2.54
Allen Creek-Goldstream Creek (HUC12: 190803090707),2260,5,gfdl,1,1542.6,6.89,0.48,14.5,2.16,6.66,11.89,12.41,8.5,5.54,2.56
Allen Creek-Goldstream Creek (HUC12: 190803090707),2260,5,gfdl,2,1690.55,7.55,0.47,17.33,2.24,7.86,12.86,13.72,8.96,5.89,2.89
Allen Creek-Goldstream Creek (HUC12: 190803090707),2268,5,ccsm,0,1420.76,6.41,0.35,14.73,1.99,5.82,10.58,11.92,8.23,5.05,2.4
Allen Creek-Goldstream Creek (HUC12: 190803090707),2268,5,ccsm,1,1494.24,6.67,0.31,18.21,1.99,5.94,11.55,12.45,8.21,5.32,2.48
Allen Creek-Goldstream Creek (HUC12: 190803090707),2268,5,ccsm,2,1627.42,7.27,0.28,18.69,2.0,6.76,12.86,13.41,9.08,5.73,2.62
Allen Creek-Goldstream Creek (HUC12: 190803090707),2268,5,gfdl,0,1420.76,6.41,0.35,14.73,1.99,5.82,10.58,11.92,8.23,5.05,2.4
Allen Creek-Goldstream Creek (HUC12: 190803090707),2268,5,gfdl,1,1501.2,6.7,0.29,14.2,1.97,6.44,11.61,12.21,8.36,5.42,2.42
Allen Creek-Goldstream Creek (HUC12: 190803090707),2268,5,gfdl,2,1647.24,7.35,0.27,17.01,2.04,7.63,12.57,13.51,8.83,5.75,2.75
Allen Creek-Goldstream Creek (HUC12: 190803090707),2298,5,ccsm,0,1425.1,6.4,0.34,14.74,1.97,5.82,10.6,11.94,8.23,5.03,2.38
Allen Creek-Goldstream Creek (HUC12: 190803090707),2298,5,ccsm,1,1494.26,6.67,0.3,18.3,1.97,5.94,11.59,12.47,8.2,5.3,2.46
Allen Creek-Goldstream Creek (HUC12: 190803090707),2298,5,ccsm,2,1628.81,7.27,0.26,18.79,1.99,6.77,12.91,13.45,9.07,5.7,2.6
Allen Creek-Goldstream Creek (HUC12: 190803090707),2298,5,gfdl,0,1425.1,6.4,0.34,14.74,1.97,5.82,10.6,11.94,8.23,5.03,2.38
Allen Creek-Goldstream Creek (HUC12: 190803090707),2298,5,gfdl,1,1500.16,6.7,0.28,14.24,1.95,6.44,11.64,12.22,8.34,5.41,2.39
Allen Creek-Goldstream Creek (HUC12: 190803090707),2298,5,gfdl,2,1646.92,7.35,0.26,17.02,2.02,7.62,12.59,13.53,8.84,5.73,2.72
Allen Creek-Goldstream Creek (HUC12: 190803090707),2364,5,ccsm,0,1442.21,6.53,0.49,14.83,2.13,6.0,10.77,12.08,8.35,5.14,2.48
Allen Creek-Goldstream Creek (HUC12: 190803090707),2364,5,ccsm,1,1524.48,6.81,0.45,18.39,2.13,6.11,11.75,12.59,8.32,5.42,2.56
Allen Creek-Goldstream Creek (HUC12: 190803090707),2364,5,ccsm,2,1658.77,7.41,0.42,18.92,2.16,6.94,13.06,13.57,9.19,5.81,2.71
Allen Creek-Goldstream Creek (HUC12: 190803090707),2364,5,gfdl,0,1442.21,6.53,0.49,14.83,2.13,6.0,10.77,12.08,8.35,5.14,2.48
Allen Creek-Goldstream Creek (HUC12: 190803090707),2364,5,gfdl,1,1531.61,6.84,0.43,14.39,2.11,6.62,11.81,12.36,8.46,5.53,2.49
Allen Creek-Goldstream Creek (HUC12: 190803090707),2364,5,gfdl,2,1676.55,7.48,0.41,17.15,2.19,7.8,12.74,13.65,8.94,5.85,2.82
Allen Creek-Goldstream Creek (HUC12: 190803090707),2365,5,ccsm,0,1429.44,6.5,0.48,14.74,2.13,5.99,10.71,12.03,8.33,5.12,2.48
Allen Creek-Goldstream Creek (HUC12: 190803090707),2365,5,ccsm,1,1518.58,6.78,0.44,18.2,2.14,6.11,11.66,12.54,8.31,5.43,2.56
Allen Creek-Goldstream Creek (HUC12: 190803090707),2365,5,ccsm,2,1650.97,7.37,0.41,18.76,2.16,6.91,12.95,13.49,9.18,5.82,2.7
Allen Creek-Goldstream Creek (HUC12: 190803090707),2365,5,gfdl,0,1429.44,6.5,0.48,14.74,2.13,5.99,10.71,12.03,8.33,5.12,2.48
Allen Creek-Goldstream Creek (HUC12: 190803090707),2365,5,gfdl,1,1527.68,6.82,0.42,14.3,2.12,6.6,11.75,12.33,8.44,5.54,2.49
Allen Creek-Goldstream Creek (HUC12: 190803090707),2365,5,gfdl,2,1669.85,7.45,0.4,17.05,2.2,7.76,12.65,13.59,8.92,5.86,2.81
Allen Creek-Goldstream Creek (HUC12: 190803090707),2402,5,ccsm,0,1428.16,6.52,0.44,14.72,2.1,5.98,10.69,12.01,8.31,5.14,2.46
Allen Creek-Goldstream Creek (HUC12: 190803090707),2402,5,ccsm,1,1514.31,6.76,0.4,18.08,2.11,6.09,11.63,12.51,8.31,5.43,2.55
Allen Creek-Goldstream Creek (HUC12: 190803090707),2402,5,ccsm,2,1645.88,7.35,0.37,18.7,2.14,6.88,12.9,13.45,9.16,5.83,2.69
Allen Creek-Goldstream Creek (HUC12: 190803090707),2402,5,gfdl,0,1428.16,6.52,0.44,14.72,2.1,5.98,10.69,12.01,8.31,5.14,2.46
Allen Creek-Goldstream Creek (HUC12: 190803090707),2402,5,gfdl,1,1523.63,6.8,0.38,14.24,2.08,6.59,11.73,12.31,8.43,5.55,2.47
Allen Creek-Goldstream Creek (HUC12: 190803090707),2402,5,gfdl,2,1665.36,7.43,0.37,16.99,2.17,7.76,12.62,13.55,8.89,5.86,2.8
Anaconda Creek (HUC12: 190803060801),3508,4,ccsm,0,1052.49,4.72,0.0,12.15,0.36,3.73,8.22,9.9,6.86,3.79,1.18
Anaconda Creek (HUC12: 190803060801),3508,4,ccsm,1,1130.96,5.05,0.0,15.58,0.33,3.91,9.14,10.5,6.98,4.1,1.27
Anaconda Creek (HUC12: 190803060801),3508,4,ccsm,2,1260.6,5.63,0.0,16.51,0.34,4.72,10.42,11.42,7.78,4.5,1.41
Anaconda Creek (HUC12: 190803060801),3508,4,gfdl,0,1052.49,4.72,0.0,12.15,0.36,3.73,8.22,9.9,6.86,3.79,1.18
Anaconda Creek (HUC12: 190803060801),3508,4,gfdl,1,1125.31,5.02,0.0,11.84,0.29,4.3,9.26,10.17,6.94,4.16,1.15
Anaconda Creek (HUC12: 190803060801),3508,4,gfdl,2,1244.35,5.56,0.0,14.08,0.37,5.48,9.84,11.2,7.3,4.39,1.48
Anaconda Creek (HUC12: 190803060801),3545,4,ccsm,0,940.17,4.29,0.0,11.45,0.17,3.21,7.55,9.38,6.51,3.47,0.9
Anaconda Creek (HUC12: 190803060801),3545,4,ccsm,1,1041.37,4.65,0.0,14.77,0.17,3.34,8.47,9.9,6.63,3.8,1.02
Anaconda Creek (HUC12: 190803060801),3545,4,ccsm,2,1173.37,5.24,0.0,20.74,0.18,4.11,9.73,11.0,7.4,4.2,1.14
Anaconda Creek (HUC12: 190803060801),3545,4,gfdl,0,940.17,4.29,0.0,11.45,0.17,3.21,7.55,9.38,6.51,3.47,0.9
Anaconda Creek (HUC12: 190803060801),3545,4,gfdl,1,1037.45,4.63,0.0,11.24,0.12,3.76,8.55,9.64,6.6,3.82,0.91
Anaconda Creek (HUC12: 190803060801),3545,4,gfdl,2,1148.5,5.13,0.0,13.19,0.21,4.92,9.08,10.6,6.91,4.04,1.19
Angel Creek (HUC12: 190803060408),4136,4,ccsm,0,688.09,3.13,0.0,9.63,0.01,1.42,5.67,7.8,5.25,2.13,0.16
Angel Creek (HUC12: 190803060408),4136,4,ccsm,1,770.59,3.44,0.0,12.92,0.0,1.6,6.56,8.35,5.29,2.49,0.25
Angel Creek (HUC12: 190803060408),4136,4,ccsm,2,888.34,3.97,0.0,13.2,0.0,2.25,7.67,9.28,6.1,2.88,0.3
Angel Creek (HUC12: 190803060408),4136,4,gfdl,0,688.09,3.13,0.0,9.63,0.01,1.42,5.67,7.8,5.25,2.13,0.16
Angel Creek (HUC12: 190803060408),4136,4,gfdl,1,774.18,3.46,0.0,8.91,0.0,2.23,6.62,8.01,5.28,2.5,0.2
Angel Creek (HUC12: 190803060408),4136,4,gfdl,2,882.71,3.94,0.0,11.21,0.01,3.45,7.18,8.91,5.66,2.72,0.34
Angel Creek (HUC12: 190803060408),4157,4,ccsm,0,664.71,3.03,0.0,9.43,0.0,1.29,5.47,7.63,5.14,2.0,0.1
Angel Creek (HUC12: 190803060408),4157,4,ccsm,1,743.86,3.32,0.0,12.74,0.0,1.44,6.34,8.21,5.18,2.33,0.19
Angel Creek (HUC12: 190803060408),4157,4,ccsm,2,865.59,3.86,0.0,13.16,0.0,2.09,7.52,9.15,6.0,2.74,0.23
Angel Creek (HUC12: 190803060408),4157,4,gfdl,0,664.71,3.03,0.0,9.43,0.0,1.29,5.47,7.63,5.14,2.0,0.1
Angel Creek (HUC12: 190803060408),4157,4,gfdl,1,744.15,3.32,0.0,8.74,0.0,1.98,6.37,7.86,5.14,2.36,0.13
Angel Creek (HUC12: 190803060408),4157,4,gfdl,2,852.59,3.81,0.0,11.12,0.0,3.13,6.96,8.8,5.53,2.59,0.27
Angel Creek (HUC12: 190803060408),4169,4,ccsm,0,1008.59,4.58,0.0,11.79,0.31,3.59,7.98,9.73,6.75,3.63,1.02
Angel Creek (HUC12: 190803060408),4169,4,ccsm,1,1095.5,4.89,0.0,15.04,0.26,3.72,8.87,10.32,6.84,3.95,1.11
Angel Creek (HUC12: 190803060408),4169,4,ccsm,2,1226.01,5.47,0.0,15.82,0.29,4.51,10.18,11.24,7.64,4.38,1.25
Angel Creek (HUC12: 190803060408),4169,4,gfdl,0,1008.59,4.58,0.0,11.79,0.31,3.59,7.98,9.73,6.75,3.63,1.02
Angel Creek (HUC12: 190803060408),4169,4,gfdl,1,1088.69,4.86,0.0,11.36,0.31,4.22,8.83,9.96,6.79,3.97,1.01
Angel Creek (HUC12: 190803060408),4169,4,gfdl,2,1199.66,5.36,0.0,13.47,0.38,5.38,9.38,10.84,7.16,4.2,1.29
Angel Creek (HUC12: 190803060408),4185,4,ccsm,0,767.5,3.46,0.0,10.24,0.01,1.88,6.26,8.3,5.64,2.46,0.26
Angel Creek (HUC12: 190803060408),4185,4,ccsm,1,846.61,3.78,0.0,13.44,0.0,2.03,7.19,8.91,5.69,2.8,0.38
Angel Creek (HUC12: 190803060408),4185,4,ccsm,2,974.26,4.35,0.0,14.0,0.0,2.77,8.44,9.85,6.53,3.22,0.44
Angel Creek (HUC12: 190803060408),4185,4,gfdl,0,767.5,3.46,0.0,10.24,0.01,1.88,6.26,8.3,5.64,2.46,0.26
Angel Creek (HUC12: 190803060408),4185,4,gfdl,1,843.28,3.76,0.0,9.52,0.02,2.58,7.16,8.54,5.64,2.83,0.3
Angel Creek (HUC12: 190803060408),4185,4,gfdl,2,951.71,4.25,0.0,11.89,0.04,3.74,7.75,9.43,6.03,3.06,0.48
Beaver Creek (HUC12: 190803060505),2455,5,ccsm,0,1075.63,4.86,0.0,12.78,0.42,3.9,8.45,10.15,7.01,3.91,1.27
Beaver Creek (HUC12: 190803060505),2455,5,ccsm,1,1161.9,5.19,0.0,16.08,0.4,4.08,9.35,10.67,7.12,4.22,1.37
Beaver Creek (HUC12: 190803060505),2455,5,ccsm,2,1288.33,5.75,0.0,16.39,0.4,4.82,10.64,11.58,7.95,4.64,1.5
Beaver Creek (HUC12: 190803060505),2455,5,gfdl,0,1075.63,4.86,0.0,12.78,0.42,3.9,8.45,10.15,7.01,3.91,1.27
Beaver Creek (HUC12: 190803060505),2455,5,gfdl,1,1153.83,5.15,0.0,11.91,0.4,4.41,9.38,10.42,7.06,4.3,1.26
Beaver Creek (HUC12: 190803060505),2455,5,gfdl,2,1275.23,5.69,0.0,14.47,0.46,5.59,10.04,11.42,7.47,4.53,1.57
Beaver Creek (HUC12: 190803060505),2486,5,ccsm,0,1034.92,4.69,0.0,12.45,0.35,3.69,8.24,9.95,6.88,3.79,1.16
Beaver Creek (HUC12: 190803060505),2486,5,ccsm,1,1128.48,5.04,0.0,15.66,0.32,3.88,9.11,10.48,6.98,4.1,1.26
Beaver Creek (HUC12: 190803060505),2486,5,ccsm,2,1256.5,5.61,0.0,16.05,0.33,4.62,10.44,11.38,7.8,4.52,1.39
Beaver Creek (HUC12: 190803060505),2486,5,gfdl,0,1034.92,4.69,0.0,12.45,0.35,3.69,8.24,9.95,6.88,3.79,1.16
Beaver Creek (HUC12: 190803060505),2486,5,gfdl,1,1126.17,5.03,0.0,11.65,0.31,4.26,9.23,10.24,6.93,4.18,1.16
Beaver Creek (HUC12: 190803060505),2486,5,gfdl,2,1240.81,5.54,0.0,14.29,0.36,5.35,9.83,11.22,7.32,4.41,1.46
Beaver Creek (HUC12: 190803060505),2496,5,ccsm,0,964.98,4.36,0.0,11.96,0.16,3.19,7.74,9.54,6.56,3.48,0.88
Beaver Creek (HUC12: 190803060505),2496,5,ccsm,1,1053.01,4.7,0.0,15.1,0.16,3.39,8.62,10.05,6.66,3.79,1.02
Beaver Creek (HUC12: 190803060505),2496,5,ccsm,2,1184.51,5.29,0.0,15.56,0.17,4.13,9.99,11.02,7.49,4.2,1.11
Beaver Creek (HUC12: 190803060505),2496,5,gfdl,0,964.98,4.36,0.0,11.96,0.16,3.19,7.74,9.54,6.56,3.48,0.88
Beaver Creek (HUC12: 190803060505),2496,5,gfdl,1,1051.71,4.7,0.0,11.13,0.12,3.78,8.75,9.82,6.62,3.87,0.91
Beaver Creek (HUC12: 190803060505),2496,5,gfdl,2,1165.2,5.2,0.0,13.69,0.19,4.9,9.35,10.78,6.98,4.09,1.18
Beaver Creek (HUC12: 190803060505),2522,4,ccsm,0,1052.87,4.82,0.0,12.55,0.4,3.83,8.36,10.1,7.0,3.88,1.24
Beaver Creek (HUC12: 190803060505),2522,4,ccsm,1,1150.09,5.13,0.0,15.6,0.39,4.03,9.25,10.56,7.05,4.2,1.37
Beaver Creek (HUC12: 190803060505),2522,4,ccsm,2,1279.61,5.71,0.0,16.12,0.39,4.77,10.57,11.52,7.88,4.61,1.49
Beaver Creek (HUC12: 190803060505),2522,4,gfdl,0,1052.87,4.82,0.0,12.55,0.4,3.83,8.36,10.1,7.0,3.88,1.24
Beaver Creek (HUC12: 190803060505),2522,4,gfdl,1,1146.15,5.12,0.0,11.91,0.39,4.41,9.34,10.32,7.01,4.26,1.25
Beaver Creek (HUC12: 190803060505),2522,4,gfdl,2,1262.8,5.64,0.0,14.25,0.44,5.55,9.95,11.29,7.4,4.49,1.55
Beaver Creek (HUC12: 190803060505),2524,5,ccsm,0,1010.93,4.6,0.0,12.26,0.28,3.5,8.05,9.81,6.77,3.67,1.04
Beaver Creek (HUC12: 190803060505),2524,5,ccsm,1,1099.94,4.91,0.0,15.33,0.26,3.71,8.92,10.3,6.85,3.99,1.17
Beaver Creek (HUC12: 190803060505),2524,5,ccsm,2,1230.83,5.49,0.0,15.84,0.27,4.46,10.26,11.26,7.69,4.4,1.29
Beaver Creek (HUC12: 190803060505),2524,5,gfdl,0,1010.93,4.6,0.0,12.26,0.28,3.5,8.05,9.81,6.77,3.67,1.04
Beaver Creek (HUC12: 190803060505),2524,5,gfdl,1,1096.66,4.9,0.0,11.53,0.24,4.09,9.03,10.05,6.8,4.06,1.07
Beaver Creek (HUC12: 190803060505),2524,5,gfdl,2,1212.13,5.41,0.0,13.97,0.3,5.21,9.63,11.03,7.19,4.29,1.36
Beaver Creek (HUC12: 190803060505),2525,4,ccsm,0,957.64,4.32,0.0,11.79,0.15,3.13,7.62,9.48,6.54,3.43,0.85
Beaver Creek (HUC12: 190803060505),2525,4,ccsm,1,1040.34,4.64,0.0,14.9,0.14,3.31,8.51,9.96,6.6,3.75,1.0
Beaver Creek (HUC12: 190803060505),2525,4,ccsm,2,1170.89,5.23,0.0,15.41,0.16,4.06,9.83,10.94,7.44,4.16,1.09
Beaver Creek (HUC12: 190803060505),2525,4,gfdl,0,957.64,4.32,0.0,11.79,0.15,3.13,7.62,9.48,6.54,3.43,0.85
Beaver Creek (HUC12: 190803060505),2525,4,gfdl,1,1037.67,4.63,0.0,11.09,0.11,3.7,8.6,9.73,6.55,3.82,0.89
Beaver Creek (HUC12: 190803060505),2525,4,gfdl,2,1152.44,5.14,0.0,13.5,0.19,4.84,9.2,10.68,6.95,4.05,1.16
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2881,4,ccsm,0,1251.49,5.7,0.0,13.91,1.24,5.01,9.71,11.1,7.66,4.48,1.84
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2881,4,ccsm,1,1334.81,5.96,0.0,16.56,1.19,5.15,10.66,11.59,7.73,4.71,1.88
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2881,4,ccsm,2,1471.1,6.57,0.0,17.66,1.17,5.97,11.98,12.58,8.61,5.13,2.02
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2881,4,gfdl,0,1251.49,5.7,0.0,13.91,1.24,5.01,9.71,11.1,7.66,4.48,1.84
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2881,4,gfdl,1,1342.44,5.99,0.0,13.63,1.18,5.52,10.84,11.37,7.78,4.87,1.83
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2881,4,gfdl,2,1477.82,6.6,0.0,16.18,1.21,6.72,11.63,12.57,8.22,5.16,2.13
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2895,4,ccsm,0,1240.66,5.65,0.0,13.69,1.2,4.98,9.61,11.01,7.64,4.49,1.84
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2895,4,ccsm,1,1326.61,5.92,0.0,16.54,1.16,5.13,10.53,11.47,7.72,4.75,1.89
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2895,4,ccsm,2,1460.72,6.52,0.0,17.43,1.14,5.95,11.85,12.45,8.56,5.16,2.03
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2895,4,gfdl,0,1240.66,5.65,0.0,13.69,1.2,4.98,9.61,11.01,7.64,4.49,1.84
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2895,4,gfdl,1,1331.44,5.94,0.0,13.44,1.13,5.5,10.71,11.26,7.74,4.89,1.82
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),2895,4,gfdl,2,1464.93,6.54,0.0,16.0,1.18,6.69,11.47,12.43,8.17,5.16,2.13
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3007,4,ccsm,0,1166.96,5.33,0.0,13.05,0.85,4.57,9.1,10.61,7.36,4.26,1.62
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3007,4,ccsm,1,1252.91,5.59,0.0,16.0,0.82,4.72,9.98,11.08,7.47,4.54,1.67
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3007,4,ccsm,2,1385.07,6.18,0.0,16.98,0.82,5.53,11.33,12.0,8.28,4.93,1.81
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3007,4,gfdl,0,1166.96,5.33,0.0,13.05,0.85,4.57,9.1,10.61,7.36,4.26,1.62
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3007,4,gfdl,1,1256.29,5.61,0.0,12.82,0.79,5.1,10.2,10.79,7.47,4.66,1.59
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3007,4,gfdl,2,1381.02,6.17,0.0,15.23,0.85,6.23,10.86,11.9,7.88,4.92,1.91
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3045,4,ccsm,0,1230.96,5.57,0.0,13.81,1.06,4.88,9.56,10.99,7.59,4.38,1.75
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3045,4,ccsm,1,1315.03,5.87,0.0,16.81,1.01,5.04,10.53,11.49,7.69,4.66,1.81
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3045,4,ccsm,2,1454.06,6.49,0.0,17.7,1.0,5.91,11.95,12.48,8.54,5.07,1.95
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3045,4,gfdl,0,1230.96,5.57,0.0,13.81,1.06,4.88,9.56,10.99,7.59,4.38,1.75
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3045,4,gfdl,1,1314.2,5.87,0.0,13.4,0.98,5.42,10.64,11.17,7.7,4.8,1.75
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3045,4,gfdl,2,1446.87,6.46,0.0,15.92,1.04,6.63,11.39,12.31,8.13,5.07,2.07
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3149,4,ccsm,0,1168.83,5.28,0.0,13.22,0.75,4.51,9.12,10.63,7.35,4.16,1.54
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3149,4,ccsm,1,1247.78,5.57,0.0,16.12,0.74,4.66,10.07,11.13,7.44,4.45,1.59
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3149,4,ccsm,2,1385.24,6.18,0.0,17.6,0.73,5.52,11.45,12.09,8.29,4.86,1.72
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3149,4,gfdl,0,1168.83,5.28,0.0,13.22,0.75,4.51,9.12,10.63,7.35,4.16,1.54
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3149,4,gfdl,1,1248.44,5.57,0.0,12.75,0.7,5.07,10.17,10.83,7.45,4.57,1.52
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3149,4,gfdl,2,1376.09,6.14,0.0,15.27,0.78,6.24,10.88,11.94,7.87,4.83,1.83
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3182,4,ccsm,0,1230.14,5.57,0.0,13.79,1.08,4.87,9.56,10.98,7.6,4.4,1.77
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3182,4,ccsm,1,1316.51,5.88,0.0,16.85,1.03,5.02,10.56,11.51,7.66,4.7,1.82
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3182,4,ccsm,2,1456.02,6.5,0.0,18.14,1.01,5.88,11.97,12.5,8.55,5.1,1.95
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3182,4,gfdl,0,1230.14,5.57,0.0,13.79,1.08,4.87,9.56,10.98,7.6,4.4,1.77
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3182,4,gfdl,1,1318.01,5.88,0.0,13.31,1.03,5.48,10.67,11.17,7.7,4.8,1.75
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3182,4,gfdl,2,1445.17,6.45,0.0,15.76,1.06,6.63,11.37,12.3,8.1,5.08,2.06
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3227,4,ccsm,0,1256.92,5.7,0.0,13.87,1.27,5.01,9.67,11.09,7.68,4.52,1.89
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3227,4,ccsm,1,1342.47,5.99,0.0,17.0,1.22,5.15,10.67,11.6,7.74,4.81,1.95
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3227,4,ccsm,2,1477.62,6.6,0.0,17.73,1.21,5.99,12.03,12.58,8.62,5.2,2.07
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3227,4,gfdl,0,1256.92,5.7,0.0,13.87,1.27,5.01,9.67,11.09,7.68,4.52,1.89
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3227,4,gfdl,1,1343.66,6.0,0.0,13.31,1.22,5.6,10.78,11.27,7.78,4.93,1.88
Big Eldorado Creek-Goldstream Creek (HUC12: 190803090702),3227,4,gfdl,2,1467.2,6.55,0.0,15.83,1.23,6.71,11.43,12.38,8.21,5.17,2.18
Boulder Creek-North Fork Chena River (HUC12: 190803060403),4287,5,ccsm,0,939.94,4.29,0.0,11.53,0.15,3.18,7.62,9.43,6.53,3.37,0.81
